;tweet;label;tweet_spacy;score (positive);prediction
0;anyway i got a pair of sony  mdr7506 ’s;{'POSITIVE': True};anyway i got a pair of sony  mdr7506 ’s;0.4342416822910309;False
1;"I saw the SB commercial for (probably overpriced) headphones. If you're looking for decent headphones, you can't go wrong with the Sony  MDR7506 . They're in practically every studio I've ever been in, and almost bullet proof. Usually around $80.

Just my semi-educated two cents.";{'POSITIVE': False};"I saw the SB commercial for (probably overpriced) headphones. If you're looking for decent headphones, you can't go wrong with the Sony  MDR7506 . They're in practically every studio I've ever been in, and almost bullet proof. Usually around $80.

Just my semi-educated two cents.";0.39390289783477783;False
2;Well, it’s happened: I’ve been podcasting long enough that I finally went through my first pair of headphones. My first pair of Sony  MDR7506  just died in its left ear.;{'POSITIVE': True};Well, it’s happened: I’ve been podcasting long enough that I finally went through my first pair of headphones. My first pair of Sony  MDR7506  just died in its left ear.;0.8022123575210571;True
3;My  mdr7506 ’s right ear blew and my other pair of headphones jack bent haha shiiiiiet;{'POSITIVE': False};My  mdr7506 ’s right ear blew and my other pair of headphones jack bent haha shiiiiiet;0.6699621081352234;True
4;smh my  mdr7506  headphone cable started glitching in and out so i bought a pack of 10 female headphone jacks and im gonna make it so u can use a replaceable male-male 3.5 mm cable;{'POSITIVE': False};smh my  mdr7506  headphone cable started glitching in and out so i bought a pack of 10 female headphone jacks and im gonna make it so u can use a replaceable male-male 3.5 mm cable;0.3660910129547119;False
5;I tell you HuWhat! These damn Headphones are the best I've tested and owned. Can't believe I replaced my Audio Technica. I'm hearing stuff I haven't heard before LOL -- Sony  MDR7506  Professional Large Diaphragm Headphone Sony  https://www. amazon.com/dp/B000AJIF4E/ ref=cm_sw_r_tw_dp_U_x_c9YWAbAFS1GEQ   …  via @amazon;{'POSITIVE': False};I tell you HuWhat! These damn Headphones are the best I've tested and owned. Can't believe I replaced my Audio Technica. I'm hearing stuff I haven't heard before LOL -- Sony  MDR7506  Professional Large Diaphragm Headphone Sony  https://www. amazon.com/dp/B000AJIF4E/ ref=cm_sw_r_tw_dp_U_x_c9YWAbAFS1GEQ   …  via @amazon;0.5975722670555115;True
6;"got Sony  MDR7506  professional headphones because of reviews and ok price ($80)

Either i'm crazy or i now hear how pianist BREATHES and moves on chair in this track  https:// open.spotify.com/track/7n92QzQo mRCLlciO14X0kd?si=XfzKd7h7Rrmm8BE5qWd5ag   … 

i really really hope i'll get used to it, otherwise it's a facepalm.jpg";{'POSITIVE': False};"got Sony  MDR7506  professional headphones because of reviews and ok price ($80)

Either i'm crazy or i now hear how pianist BREATHES and moves on chair in this track  https:// open.spotify.com/track/7n92QzQo mRCLlciO14X0kd?si=XfzKd7h7Rrmm8BE5qWd5ag   … 

i really really hope i'll get used to it, otherwise it's a facepalm.jpg";0.730351448059082;True
7;2 of Sony  MDR7506  headphones, Focusrite Scarlett 2i2 USB audio interface, 4 of Shure SM58 mics & covers. any suggestions?  https:// twitter.com/NanosauR/statu s/969367638353719297   …;{'POSITIVE': True};2 of Sony  MDR7506  headphones, Focusrite Scarlett 2i2 USB audio interface, 4 of Shure SM58 mics & covers. any suggestions?  https:// twitter.com/NanosauR/statu s/969367638353719297   …;0.8435099720954895;True
8;"What’s your price range? The Wirecutter likes the Sony WH-H900:  https:// thewirecutter.com/reviews/best-b luetooth-headphones/   … 
$300 new at Amazon, $200 at Costco, $150 refurbished.
Guessing you don’t want corded + a Bluetooth adapter, but Sony  MDR7506  + Avantree Clipper Pro would be affordable if that’s ok";{'POSITIVE': True};"What’s your price range? The Wirecutter likes the Sony WH-H900:  https:// thewirecutter.com/reviews/best-b luetooth-headphones/   … 
$300 new at Amazon, $200 at Costco, $150 refurbished.
Guessing you don’t want corded + a Bluetooth adapter, but Sony  MDR7506  + Avantree Clipper Pro would be affordable if that’s ok";0.9501435160636902;True
9;Found out that my favorite studio headphones (Sony’s  MDR7506 ) are currently on sale at  http:// Amazon.com    thanks to @wirecutter , so I picked up another pair. Mine have lasted nearly 25 years and (with only one pad change) are still going strong!  https://www. amazon.com/dp/B000AJIF4E/ ?tag=wcedeals-20&utm_source=Deals+We+Love&utm_campaign=d74855eb7f-DEALS_2018_03_08&utm_medium=email&utm_term=0_97ed68eaf3-d74855eb7f-87677745   …;{'POSITIVE': False};Found out that my favorite studio headphones (Sony’s  MDR7506 ) are currently on sale at  http:// Amazon.com    thanks to @wirecutter , so I picked up another pair. Mine have lasted nearly 25 years and (with only one pad change) are still going strong!  https://www. amazon.com/dp/B000AJIF4E/ ?tag=wcedeals-20&utm_source=Deals+We+Love&utm_campaign=d74855eb7f-DEALS_2018_03_08&utm_medium=email&utm_term=0_97ed68eaf3-d74855eb7f-87677745   …;0.9070501327514648;True
10;"Laying in best with my  MDR7506 's on my ears getting lost in acoustic bliss.

This feels good.";{'POSITIVE': False};"Laying in best with my  MDR7506 's on my ears getting lost in acoustic bliss.

This feels good.";0.5967531800270081;True
11;Sony  MDR7506  for producing, and this for DJing  pic.twitter.com/xeTMCCpUpS;{'POSITIVE': True};Sony  MDR7506  for producing, and this for DJing  pic.twitter.com/xeTMCCpUpS;0.5787731409072876;True
